File name,ROI number,Area in um2,IntDen RFP,IntDen GFP,Fluorescence ratio of RFP to GFP
mock 823 root 3 image 1,1,13278.164,30728881.574,21761573.337,1.412
mock 823 root 3 image 2,1,16883.658,40097005.468,29360473.413,1.366
mock 823 shoot 1 image 1,1,25313.152,56582192.427,27264018.935,2.075
mock 823 shoot 1 image 2,1,25313.152,47212003.554,23506662.072,2.008
mock 823 shoot 2 image 1,1,25313.152,48358984.360,23545378.080,2.054
mock 823 shoot 2 image 2,1,25313.152,50437592.215,27258711.567,1.850
mock 823 shoot 3 image 1,1,25313.152,42558910.767,22557812.152,1.887
mock 823 shoot 3 image 2,1,25313.152,52135182.903,24075152.933,2.166
mock 824 root 1 image 1,1,15540.922,27986718.129,19333923.492,1.448
mock 824 root 1 image 2,1,12718.691,30822907.500,21255772.137,1.450
mock 824 root 2 image 1,1,13291.156,38501977.107,24596462.185,1.565
mock 824 root 2 image 2,1,16767.773,33136957.569,22672682.233,1.462
mock 824 root 3 image 1,1,14098.725,34593019.695,21765992.336,1.589
mock 824 root 3 image 2,1,14201.058,32158284.139,19527946.295,1.647
mock 824 shoot 1 image 1,1,25313.152,68061205.087,54315504.593,1.253
mock 824 shoot 1 image 2,1,25313.152,55548039.229,44417019.561,1.251
mock 824 shoot 2 image 1,1,25313.152,46819896.580,32295646.381,1.450
mock 824 shoot 2 image 2,1,25313.152,45958706.465,32467348.404,1.416
mock 824 shoot 3 image 1,1,25313.152,63036902.373,46489735.029,1.356
mock 824 shoot 3 image 2,1,25313.152,66954535.014,50341113.633,1.330
